id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
609137,10,MissedShots,0.8390000152587891,0.6830000305175781,0.05685380846261978,Callum Hudson-Odoi,h,6456,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Morgan Gibbs-White,Pass
609138,12,BlockedShot,0.805,0.5970000076293945,0.03588489815592766,Elliot Anderson,h,9154,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Callum Hudson-Odoi,Pass
609141,25,MissedShots,0.7759999847412109,0.5670000076293945,0.03028203919529915,Anthony Elanga,h,9524,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Callum Hudson-Odoi,Pass
609142,27,Goal,0.9059999847412109,0.41900001525878905,0.5826987028121948,Anthony Elanga,h,9524,OpenPlay,2024,LeftFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Morgan Gibbs-White,Throughball
609148,52,SavedShot,0.8690000152587891,0.54,0.10400202870368958,Morgan Gibbs-White,h,6857,OpenPlay,2024,LeftFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,,None
609151,60,SavedShot,0.8680000305175781,0.48700000762939455,0.10080678015947342,Anthony Elanga,h,9524,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,,None
609152,62,MissedShots,0.9390000152587891,0.49700000762939456,0.06987939774990082,Nikola Milenkovic,h,6174,FromCorner,2024,Head,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Elliot Anderson,Aerial
609154,67,BlockedShot,0.8180000305175781,0.6409999847412109,0.10284178704023361,Neco Williams,h,8204,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,,Dispossessed
609155,67,MissedShots,0.8830000305175781,0.4229999923706055,0.15671366453170776,Ola Aina,h,725,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,,Rebound
609157,87,MissedShots,0.9730000305175781,0.34599998474121096,0.07633382081985474,Taiwo Awoniyi,h,7814,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,,None
609136,4,SavedShot,0.8640000152587891,0.575999984741211,0.10114055126905441,Son Heung-Min,a,453,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Dejan Kulusevski,Pass
609139,25,BlockedShot,0.845,0.46599998474121096,0.09168517589569092,Dominic Solanke,a,1679,OpenPlay,2024,LeftFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Djed Spence,Pass
609140,25,SavedShot,0.8909999847412109,0.325,0.06413431465625763,Brennan Johnson,a,10760,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Rodrigo Bentancur,Pass
609143,31,BlockedShot,0.7219999694824218,0.47099998474121096,0.016208704560995102,Djed Spence,a,10764,OpenPlay,2024,LeftFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Radu Dragusin,Pass
609144,38,SavedShot,0.87,0.34400001525878904,0.053891029208898544,Brennan Johnson,a,10760,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Dejan Kulusevski,Pass
609145,39,BlockedShot,0.7809999847412109,0.6819999694824219,0.02165699005126953,Dominic Solanke,a,1679,FromCorner,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Son Heung-Min,Pass
609146,45,MissedShots,0.7430000305175781,0.3820000076293945,0.0516199916601181,Son Heung-Min,a,453,DirectFreekick,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,,Standard
609147,46,MissedShots,0.7709999847412109,0.3039999961853027,0.018511049449443817,Dejan Kulusevski,a,6691,OpenPlay,2024,LeftFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Brennan Johnson,Pass
609149,56,BlockedShot,0.8430000305175781,0.595999984741211,0.04561706259846687,Pape Sarr,a,9021,FromCorner,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,,None
609150,56,SavedShot,0.9109999847412109,0.4809999847412109,0.4970286786556244,Brennan Johnson,a,10760,FromCorner,2024,LeftFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Djed Spence,TakeOn
609153,66,MissedShots,0.789000015258789,0.57,0.03740664944052696,James Maddison,a,6818,OpenPlay,2024,LeftFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Son Heung-Min,Pass
609156,75,BlockedShot,0.769000015258789,0.46599998474121096,0.029272712767124176,James Maddison,a,6818,OpenPlay,2024,RightFoot,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Son Heung-Min,Pass
609158,90,MissedShots,0.8569999694824219,0.5120000076293946,0.029405001550912857,Dominic Solanke,a,1679,OpenPlay,2024,Head,26779,Nottingham Forest,Tottenham,1,0,2024-12-26 15:00:00,Pedro Porro,Cross
609163,9,MissedShots,0.9480000305175781,0.515,0.5658470988273621,Paul Onuachu,h,11360,OpenPlay,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Kyle Walker-Peters,Aerial
609165,13,BlockedShot,0.8090000152587891,0.45,0.045268699526786804,Chimuanya Ugochukwu,h,9451,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Paul Onuachu,Pass
609166,17,SavedShot,0.9180000305175782,0.5179999923706055,0.3470700979232788,Mateus Fernandes,h,12948,OpenPlay,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Adam Armstrong,Cross
609167,21,SavedShot,0.8669999694824219,0.754000015258789,0.022719627246260643,Kyle Walker-Peters,h,885,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Chimuanya Ugochukwu,Chipped
609169,24,SavedShot,0.92,0.4370000076293945,0.051236171275377274,Paul Onuachu,h,11360,OpenPlay,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Kyle Walker-Peters,Chipped
609170,42,BlockedShot,0.86,0.28,0.035514917224645615,Yukinari Sugawara,h,12761,OpenPlay,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Mateus Fernandes,Pass
609171,42,MissedShots,0.7709999847412109,0.31,0.013619690202176571,Flynn Downes,h,10845,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,,Rebound
609173,45,SavedShot,0.8830000305175781,0.59,0.023295579478144646,Kyle Walker-Peters,h,885,OpenPlay,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Yukinari Sugawara,Aerial
609175,48,BlockedShot,0.9380000305175781,0.5509999847412109,0.06705979257822037,Paul Onuachu,h,11360,OpenPlay,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Mateus Fernandes,Aerial
609176,49,MissedShots,0.9590000152587891,0.395,0.01527741551399231,Nathan Wood,h,12763,FromCorner,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Mateus Fernandes,Aerial
609177,53,SavedShot,0.9080000305175782,0.524000015258789,0.30730053782463074,Paul Onuachu,h,11360,OpenPlay,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Yukinari Sugawara,Cross
609180,64,MissedShots,0.8719999694824219,0.6940000152587891,0.030174437910318375,Adam Armstrong,h,4419,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Mateus Fernandes,Chipped
609184,68,MissedShots,0.9,0.5820000076293945,0.09769940376281738,Mateus Fernandes,h,12948,OpenPlay,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Kyle Walker-Peters,Pass
609188,88,MissedShots,0.980999984741211,0.5770000076293945,0.43850359320640564,Paul Onuachu,h,11360,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Taylor Harwood-Bellis,HeadPass
609189,89,MissedShots,0.8880000305175781,0.4570000076293945,0.023284049704670906,Paul Onuachu,h,11360,OpenPlay,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Adam Lallana,Aerial
609190,94,MissedShots,0.8619999694824219,0.40599998474121096,0.06101552024483681,Tyler Dibling,h,10586,OpenPlay,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,James Bree,BallRecovery
609191,95,BlockedShot,0.86,0.46099998474121096,0.01809166744351387,Paul Onuachu,h,11360,OpenPlay,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Ryan Manning,Pass
609192,95,MissedShots,0.905,0.5309999847412109,0.03583059832453728,Paul Onuachu,h,11360,OpenPlay,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Ryan Manning,Aerial
609159,0,MissedShots,0.7469999694824219,0.4490000152587891,0.021758416667580605,Jarrod Bowen,a,1776,OpenPlay,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Carlos Soler,Pass
609160,3,BlockedShot,0.745,0.47299999237060547,0.06081800162792206,Emerson,a,1245,DirectFreekick,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,,Standard
609161,4,ShotOnPost,0.9069999694824219,0.485,0.45302823185920715,Carlos Soler,a,2478,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Aaron Wan-Bissaka,Pass
609162,4,BlockedShot,0.8109999847412109,0.5540000152587891,0.03814050927758217,Guido Rodríguez,a,8267,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,,Rebound
609164,12,BlockedShot,0.879000015258789,0.3139999961853027,0.053796667605638504,Jarrod Bowen,a,1776,OpenPlay,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Aaron Wan-Bissaka,Pass
609168,22,MissedShots,0.8040000152587891,0.65,0.03158271685242653,Jarrod Bowen,a,1776,OpenPlay,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Guido Rodríguez,Pass
609172,43,MissedShots,0.9109999847412109,0.3970000076293945,0.07759757339954376,Aaron Wan-Bissaka,a,5584,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Mohammed Kudus,Chipped
609174,47,SavedShot,0.7730000305175782,0.41200000762939454,0.02894718199968338,Mohammed Kudus,a,12027,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Aaron Wan-Bissaka,Pass
609178,58,BlockedShot,0.9340000152587891,0.47400001525878904,0.08251258730888367,Niclas Füllkrug,a,6098,FromCorner,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Edson Álvarez,Chipped
609179,58,Goal,0.9690000152587891,0.525,0.7399704456329346,Jarrod Bowen,a,1776,FromCorner,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Niclas Füllkrug,Rebound
609181,66,BlockedShot,0.860999984741211,0.41900001525878905,0.08964770287275314,Jarrod Bowen,a,1776,OpenPlay,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Tomas Soucek,HeadPass
609182,66,BlockedShot,0.914000015258789,0.6909999847412109,0.05668266490101814,Mohammed Kudus,a,12027,OpenPlay,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,,Rebound
609183,66,MissedShots,0.965,0.3160000038146973,0.030937999486923218,Aaron Wan-Bissaka,a,5584,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Mohammed Kudus,Cross
609185,69,MissedShots,0.9409999847412109,0.7019999694824218,0.06331120431423187,Crysencio Summerville,a,9492,OpenPlay,2024,RightFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Jarrod Bowen,Pass
609186,74,MissedShots,0.97,0.59,0.1208718940615654,Mohammed Kudus,a,12027,OpenPlay,2024,LeftFoot,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,,None
609187,78,MissedShots,0.88,0.5790000152587891,0.03492036089301109,Jarrod Bowen,a,1776,SetPiece,2024,Head,26780,Southampton,West Ham,0,1,2024-12-26 15:00:00,Aaron Cresswell,Cross
